area	source	target	status	judge	gap
AI message and stream contracts	packages/ai/src/types.ts	pi-ai	complete	Gradle tests and provider stream oracle
Built-in model catalog	packages/ai/src/providers/data	pi-ai	complete	Catalog checksum, runtime tests, and model catalog oracle
Provider protocols	packages/ai/src/api	pi-ai	complete	Provider payload, stream, OAuth, and image-generation oracles
Agent loop	packages/agent/src	pi-agent-core	complete	Agent loop and session tests
SQLite session storage	packages/storage/sqlite-node	pi-storage-sqlite	complete	SQLite repository tests
CLI argument and print modes	packages/coding-agent/src	pi-coding-agent	complete	CLI help, CLI/package runtime, RPC runtime, and credential-print oracles plus parser, CLI, interactive, and package-command tests
Context, skills, and prompt templates	packages/coding-agent/src/core/resource-loader.ts packages/coding-agent/src/core/skills.ts packages/coding-agent/src/core/prompt-templates.ts	pi-coding-agent	complete	Resource loading oracle plus CLI, RPC, nested-worktree, and resource tests
Project trust	packages/coding-agent/src/core/project-trust.ts packages/coding-agent/src/core/trust-manager.ts	pi-coding-agent	complete	Resource loading and extension runtime oracles plus trust-store, startup, and interactive tests
Package management	packages/coding-agent/src/core/package-manager.ts packages/coding-agent/src/package-manager-cli.ts	pi-coding-agent	complete	Package resources and CLI/package runtime oracles plus settings, selector, resolver, self-update, package-command, update-check, and recovery tests
Extension runtime	packages/coding-agent/src/core/extensions	pi-coding-agent	partial	Extension runtime, custom UI, renderer, shortcut, and jiti compatibility oracles plus host, startup, provider callback, auth storage, CLI, RPC, TUI, installed PTY, and server-stream tests	Official jiti 2.7 transpilation and module loading, extensionless/directory resolution, ESM/CommonJS interop, local TypeScript and bare-package dependencies, common virtual imports, tools, commands, flags, shortcuts with upstream conflict resolution and JLine dispatch, message/session-entry renderers with first-wins selection, live and persisted output, fallback and hiding semantics, lifecycle/tool hooks, pre-trust project_trust, resources_discover composition, serializable and direct native provider registration, request-bound and unsolicited background tools/commands/flags/providers refresh, live scopedModels, awaited dialogs with blocking TUI timeout/AbortSignal interruption, persistent widget/header/footer component factories with stable IDs, width, requestRender, replace/clear/dispose, status/git footer data, focused custom render/input loops, basic virtual Key/Editor/CustomEditor, user_bash direct results and function-valued BashOperations, native stream/streamSimple, legacy extension OAuth login/refreshToken/getApiKey/modifyModels, native API-key login/check/resolve with auth context, function-valued refreshModels(context.store), arbitrary top-level OAuth fields, provider cancellation/lifecycle cleanup, and fire-and-forget UI actions are migrated; custom editor replacement, raw terminal input, autocomplete composition, and overlay/full-screen parity remain
Themes and resource composition	packages/coding-agent/src/modes/interactive/theme packages/coding-agent/src/core/resource-loader.ts	pi-coding-agent	complete	Theme runtime, extension theme, package resource, resource-loading, and interactive runtime oracles/tests	Upstream-compatible parsing, variables, ANSI truecolor/256 conversion, built-ins, light/dark auto-selection, project/user/package/extension precedence, settings persistence, extension switching, and ANSI terminal rendering are migrated
Interactive terminal	packages/tui packages/coding-agent/src/modes/interactive	pi-tui pi-coding-agent	partial	PTY smoke, custom UI oracle, interactive runtime, and utility tests	Linear JLine rendering now covers persistent extension surfaces, focused custom input, key mapping, and basic virtual editor submission; full-screen components, overlays, custom editor replacement, raw terminal input, autocomplete composition, and transcript parity are missing
HTML export	packages/coding-agent/src/core/export-html	pi-coding-agent	complete	Exporter tests plus standalone document, extension tool renderer, and built-in tool renderer oracles
RPC and server	packages/coding-agent/src/modes/rpc packages/server	pi-coding-agent pi-server	complete	RPC runtime and server recovery oracles plus RPC/server integration tests, installed direct/server smoke, child-process crash/restart recovery, extension UI routing, concurrent bash cancellation, EOF cleanup, and stale subscription ownership
